,realtime,%cpu,rchar,wchar,syscr,syscw,read_bytes,write_bytes,%mem,vmem,rss,peak_vmem,peak_rss,vol_ctxt,inv_ctxt,scheme,samples,threads,type,iter,size_bytes
1060,26172,1429,996364371,782351360,103113,23993,20697088,0,0,2386440,69968,2407624,70360,34477,10367,enteritidis_v1.0.7,1,1,single,1,204265322
1061,29258,1299,996364371,782351360,103110,23993,20697088,0,0,2390296,69696,2407628,70088,38846,27569,enteritidis_v1.0.7,1,1,single,3,204265322
1062,36245,1351,1294375338,1028674351,134752,31539,20697088,0,0,2397236,69568,2407628,69964,43227,16826,enteritidis_v1.0.7,1,1,single,4,255953274
1063,220530,3392,4072340994,3262746427,456085,423553,33728512,2347008,3,8999180,988784,9065320,1012108,81530,20320,enteritidis_v1.0.7,1,4,snippy,1,346541347
1064,446451,1121,4391560667,3686054538,503889,419006,33728512,2908160,5,8544216,1339340,8621252,1370000,110482,10664,enteritidis_v1.0.7,1,1,snippy,1,236476990
1065,21649,1605,1112890159,866665433,114368,26575,20716544,0,0,2391964,70156,2407624,70548,36309,947,enteritidis_v1.0.7,1,1,single,9,236476990
1066,21859,1471,956459626,774537946,101158,23753,20716544,0,0,2386016,69824,2407628,70216,34509,1589,enteritidis_v1.0.7,1,1,single,4,172173948
1067,194690,1170,2661513995,2322527348,327663,267003,33657856,1765376,4,8544216,1015068,8621252,1051576,77253,6506,enteritidis_v1.0.7,1,1,snippy,1,82913788
1068,29706,1408,1091843167,831847626,110552,25509,20697088,0,0,2397232,69888,2407624,70280,39263,9243,enteritidis_v1.0.7,1,1,single,7,250246916
1069,33904,1483,1621759434,1282736713,167995,39323,20697088,0,0,2395232,69804,2407632,70196,52146,2533,enteritidis_v1.0.7,1,1,single,6,329275141
1070,15177,1339,452167029,344965890,46449,10592,20697088,0,0,2382100,69520,2407628,69916,18976,14538,enteritidis_v1.0.7,1,1,single,7,97453455
1071,42575,1436,1948252470,1534513029,201034,47036,20697088,0,0,2390136,69932,2407628,70324,61628,11095,enteritidis_v1.0.7,1,1,single,9,403991938
1072,28535,1556,1327729365,1037847833,136604,31820,20697088,0,0,1989628,69976,2407624,70372,41701,3076,enteritidis_v1.0.7,1,1,single,8,280133839
1073,284038,3085,6324566862,5200364725,699847,562154,33693696,2887680,7,9015560,1913256,9081700,1952136,140212,23764,enteritidis_v1.0.7,1,4,snippy,1,354247650
1074,39422,1240,1336465205,1040152010,137102,31890,20697088,0,0,2393264,70108,2407628,70500,39764,45766,enteritidis_v1.0.7,1,1,single,5,286565500
1075,24660,1273,812130614,619133006,82538,18992,20716544,0,0,2387252,69944,2407624,70340,28869,18743,enteritidis_v1.0.7,1,1,single,7,183249872
1076,39383,1231,1336465206,1040152010,137104,31890,20697088,0,0,2394916,69688,2407624,69804,39784,44331,enteritidis_v1.0.7,1,1,single,8,286565500
1077,617951,7466,117261131435,92068200901,12013484,2821699,20936704,0,0,17952472,510148,18160036,510148,460464,10502572,enteritidis_v1.0.7,96,8,multiple,5,96
1078,22941,1494,956459626,774537946,101175,23753,20716544,0,0,2390136,69836,2407628,70228,36507,4625,enteritidis_v1.0.7,1,1,single,2,172173948
1079,33506,1468,1605628064,1312738588,170253,40242,20697088,0,0,2393264,69920,2407628,70316,55692,3035,enteritidis_v1.0.7,1,1,single,7,283141807
1080,337410,3428,7762141191,6521468481,891289,789822,33693696,2650112,8,9047432,2221688,9059064,2264460,183503,36055,enteritidis_v1.0.7,1,4,snippy,1,539404213
1081,712442,1093,6145904113,5119370918,693014,553617,33728512,3809280,7,8576984,1944584,8654020,1986948,155039,60442,enteritidis_v1.0.7,1,1,snippy,1,334336962
1082,134347,4872,5081626101,4004147416,550902,434201,33693696,5795840,7,10136072,2038724,10195912,2078232,110879,36116,enteritidis_v1.0.7,1,16,snippy,1,237780265
1083,2383612,1950,117261116412,92068200853,12013521,2821693,20936704,0,0,6133048,192824,6339456,192824,254395,10494376,enteritidis_v1.0.7,96,2,multiple,4,96
1084,25283,1367,922490269,769854488,99698,23610,20697088,0,0,2393728,69348,2407624,69744,40946,6541,enteritidis_v1.0.7,1,1,single,3,142887817
1085,283408,3208,8342128942,6848249081,934203,716583,33693696,6041600,11,10332676,3025488,10392516,3569852,209032,152887,enteritidis_v1.0.7,1,16,snippy,1,370908859
1086,29377,1448,1236357076,999362848,130298,30641,20697088,0,0,2394588,69768,2407628,70164,42796,9298,enteritidis_v1.0.7,1,1,single,4,227245299
1087,38393,1251,1343393503,1046897545,137915,32097,20697088,0,0,2390004,69616,2407620,70012,55651,40320,enteritidis_v1.0.7,1,1,single,7,286748227
1088,33970,1445,1490836614,1145404768,151442,35115,20697088,0,0,2382356,70064,2407632,70456,48905,7385,enteritidis_v1.0.7,1,1,single,2,335684179
1089,125788,3018,2349843447,1830262603,260614,222444,33693696,2265088,2,10033464,624300,10045096,692852,45777,10027,enteritidis_v1.0.7,1,4,snippy,1,151435202
1090,35747,1282,1367863689,1061461822,140008,32544,20716544,0,0,2384644,69668,2407624,70060,43886,25527,enteritidis_v1.0.7,1,1,single,3,296654154
1091,20935,1406,761222187,599391788,79179,18387,20697088,0,0,1989636,69436,2407632,69832,26447,11120,enteritidis_v1.0.7,1,1,single,5,152082639
1092,288550,1169,3341880840,2839026739,396833,316899,33728512,2469888,4,8544216,1184616,8621252,1215712,84597,14729,enteritidis_v1.0.7,1,1,snippy,1,133140452
1093,15698,1434,604690525,443507319,60123,13611,20697088,0,0,2385764,70032,2407632,70424,18677,6067,enteritidis_v1.0.7,1,1,single,7,151435202
1094,52116,1280,1882280547,1593994985,204447,48859,20716544,0,0,2392096,69956,2407624,70352,78869,25761,enteritidis_v1.0.7,1,1,single,7,278537989
1095,11382,1452,364062661,262729100,36224,8077,20716544,0,0,2387256,69220,2407628,69612,13818,6032,enteritidis_v1.0.7,1,1,single,9,91638000
1096,34286,1259,1198872125,943622189,124071,28934,20716544,0,0,2390292,69988,2407628,70384,47098,35563,enteritidis_v1.0.7,1,1,single,4,245502220
1097,29895,1412,1196523490,929762999,122724,28508,20697088,0,0,2394952,69864,2407628,70252,39786,14018,enteritidis_v1.0.7,1,1,single,4,257012787
1098,34086,1353,1294375338,1028674351,134753,31539,20697088,0,0,2394268,69964,2407628,70360,48672,13422,enteritidis_v1.0.7,1,1,single,6,255953274
1099,20045,1491,772573672,581511192,77879,17839,20697088,0,0,2389904,69840,2407624,70236,26782,3742,enteritidis_v1.0.7,1,1,single,8,181313837
1100,350089,1149,4206945525,3603693491,501989,397961,33693696,2727936,5,8544212,1399236,8621248,1431552,93997,16157,enteritidis_v1.0.7,1,1,snippy,1,172173948
1101,1277407,3675,117261121421,92068200869,12013376,2821695,20936704,0,0,10072032,295232,10278952,295232,297849,10753858,enteritidis_v1.0.7,96,4,multiple,1,96
1102,45591,1332,1779027624,1326177489,176799,40653,20716544,0,0,2390004,69616,2407624,70012,58655,33325,enteritidis_v1.0.7,1,1,single,5,443102425
1103,476341,1167,6195197424,5248934650,713270,551067,33693696,2977792,8,10033464,2185624,10110632,2256012,171866,81211,enteritidis_v1.0.7,1,1,snippy,1,290075585
1104,263812,16003,117261151473,92068200966,12014210,2821707,20936704,0,0,33688732,920980,33900728,920980,635861,6409080,enteritidis_v1.0.7,96,16,multiple,6,96
1105,344167,2947,8873408208,7433229874,990807,790923,33693696,3485696,10,9147536,2874904,9230060,2927936,198804,27253,enteritidis_v1.0.7,1,4,snippy,1,463745106
1106,45100,1410,1840173680,1358445916,181608,41642,20697088,0,0,2396124,69636,2407628,70016,66495,30373,enteritidis_v1.0.7,1,1,single,10,471980053
1107,222703,1754,3610462033,3030795907,419228,336951,33693696,2138112,3,8833524,1056744,8900564,1082360,79613,13871,enteritidis_v1.0.7,1,2,snippy,1,168746932
1108,74079,4825,4490659936,3224529652,461937,352361,33693696,8183808,9,10167936,2409204,10228720,2475480,96374,75,enteritidis_v1.0.7,1,32,snippy,1,181313837
1109,38237,1230,1286996593,1027963404,134476,31517,20697088,0,0,2387252,69972,2407628,70368,55725,44275,enteritidis_v1.0.7,1,1,single,10,249285523
1110,99176,3939,3578897962,2680082155,371828,292904,33693696,5734400,7,10004100,1854988,10063940,1874520,77425,3188,enteritidis_v1.0.7,1,16,snippy,1,175026992
1111,14738,1364,452167031,344965890,46455,10592,20697088,0,0,2390140,69664,2407628,70060,17657,12469,enteritidis_v1.0.7,1,1,single,5,97453455
1112,36176,1303,1294375338,1028674351,134745,31539,20697088,0,0,2397488,69716,2407624,70108,43833,18708,enteritidis_v1.0.7,1,1,single,3,255953274
