250 SH genome assemblies	500 SH genome assemblies	750 SH genome assemblies	1000 SH genome assemblies
SRR2143476	SRR1778000	SRR1574315	SRR1514742
SRR2156502	SRR1778009	SRR1574320	SRR1521527
SRR2156632	SRR1778020	SRR1575945	SRR1521576
SRR2192167	SRR1783165	SRR1575956	SRR1521578
SRR2227613	SRR1783217	SRR1583119	SRR1521597
SRR2533362	SRR1791285	SRR1583145	SRR1525265
SRR2533486	SRR1791383	SRR1605040	SRR1525267
SRR2533553	SRR1793246	SRR1609689	SRR1528486
SRR2566902	SRR1796078	SRR1616741	SRR1528488
SRR2566915	SRR1805612	SRR1616753	SRR1528507
SRR2567064	SRR1805623	SRR1616760	SRR1528510
SRR2567110	SRR1810515	SRR1616763	SRR1528521
SRR2583943	SRR1810552	SRR1616772	SRR1534885
SRR2648192	SRR1810553	SRR1616773	SRR1534888
SRR2724060	SRR1813429	SRR1616774	SRR1544283
SRR2759142	SRR1814289	SRR1619597	SRR1544392
SRR2962663	SRR1814325	SRR1631185	SRR1553748
SRR2962667	SRR1816140	SRR1635104	SRR1553768
SRR2973819	SRR1816142	SRR1636572	SRR1553799
SRR3028754	SRR1840638	SRR1636680	SRR1553836
SRR3028758	SRR1840639	SRR1636689	SRR1556064
SRR3028761	SRR1840640	SRR1636987	SRR1561713
SRR3028763	SRR1840642	SRR1637043	SRR1562591
SRR3028764	SRR1840644	SRR1637087	SRR1569586
SRR3057202	SRR1840647	SRR1645238	SRR1569605
SRR3057203	SRR1840648	SRR1646540	SRR1569620
SRR3057204	SRR1840650	SRR1664211	SRR1569624
SRR3091410	SRR1840699	SRR1664299	SRR1569646
SRR3173562	SRR1849370	SRR1694048	SRR1569664
SRR3271897	SRR1849392	SRR1694060	SRR1573096
SRR3306204	SRR1908927	SRR1694061	SRR1573176
SRR3306215	SRR1908990	SRR1694071	SRR1574315
SRR3664777	SRR1909017	SRR1695743	SRR1574320
SRR3664812	SRR1910302	SRR1695749	SRR1575945
SRR3664820	SRR1910303	SRR1695763	SRR1575956
SRR3664904	SRR1916092	SRR1695768	SRR1583119
SRR3664968	SRR1916125	SRR1695769	SRR1583145
