250 SH genome assemblies	500 SH genome assemblies	750 SH genome assemblies	1000 SH genome assemblies
		SRR5584057	SRR3306215
		SRR5584485	SRR3321861
		SRR5584684	SRR3322349
		SRR5584758	SRR3330221
		SRR5584952	SRR3399771
		SRR5584998	SRR3400013
		SRR5585076	SRR3418279
		SRR5585127	SRR3606808
		SRR5585192	SRR3662611
		SRR5585228	SRR3662612
		SRR5585239	SRR3664777
		SRR5586289	SRR3664812
		SRR5598904	SRR3664813
		SRR5599704	SRR3664815
		SRR5631592	SRR3664820
		SRR5631653	SRR3664858
		SRR5631669	SRR3664866
		SRR5632108	SRR3664868
		SRR5632816	SRR3664894
		SRR5632970	SRR3664904
		SRR5633077	SRR3664968
		SRR5646583	SRR3665023
		SRR5647000	SRR3665026
		SRR5647012	SRR3665028
		SRR5714246	SRR3665052
		SRR5714989	SRR3665053
		SRR5725211	SRR3665069
		SRR5725235	SRR3665070
		SRR5742165	SRR3665076
		SRR5759605	SRR3665086
		SRR5759609	SRR3665087
		SRR5760382	SRR3665093
		SRR5760695	SRR3665161
		SRR5804720	SRR3665187
		SRR5804721	SRR3665208
		SRR5804728	SRR3682071
		SRR5804729	SRR3685561
		SRR5804738	SRR3765010
		SRR5804739	SRR3932991
		SRR5804917	SRR3932992
		SRR5804928	SRR3933003
		SRR5812214	SRR3933046
		SRR5821979	SRR3933073
		SRR5823576	SRR3933074
		SRR5854298	SRR3933075
		SRR5861553	SRR3933076
		SRR5861709	SRR3933127
		SRR5861889	SRR4044374
		SRR5862986	SRR4044375
		SRR5865205	SRR4044378
		SRR5868278	SRR4044383
		SRR5876831	SRR4044564
		SRR5892861	SRR4044584
		SRR5912904	SRR4044680
		SRR5932651	SRR4273718
		SRR5934101	SRR4292024
		SRR5938166	SRR4292025
		SRR5944103	SRR4292026
		SRR5944128	SRR4292029
		SRR5944129	SRR4295052
		SRR5944135	SRR4295053
		SRR5947424	SRR4295108
		SRR5955183	SRR4295147
		SRR5955291	SRR4297054
		SRR5955339	SRR4341028
		SRR5955393	SRR4341029
		SRR5962570	SRR4342969
		SRR5967220	SRR4342972
		SRR5980281	SRR4418379
		SRR5980393	SRR4420932
		SRR5995910	SRR4420946
		SRR6011798	SRR4421014
		SRR6029290	SRR4429351
		SRR6029292	SRR4432516
		SRR6038570	SRR4449964
		SRR6038574	SRR4449971
		SRR6039955	SRR4449972
		SRR6042798	SRR4454554
		SRR6107984	SRR5016804
		SRR6116050	SRR5016806
		SRR6116280	SRR5016810
		SRR6128822	SRR5016811
		SRR6133766	SRR5016818
		SRR6133775	SRR5053571
		SRR6158453	SRR5054228
		SRR6159342	SRR5054233
		SRR6160597	SRR5055220
		SRR6160990	SRR5055275
		SRR6160992	SRR5055522
		SRR6165601	SRR5055599
		SRR6178083	SRR5055934
		SRR6182869	SRR5055986
		SRR6197784	SRR5081554
		SRR6207756	SRR5110758
		SRR6217774	SRR5116948
		SRR6231039	SRR5125687
		SRR6231222	SRR5184239
		SRR6234181	SRR5188697
		SRR6236806	SRR5195884
		SRR6236981	SRR5217775
		SRR6243393	SRR5221413
		SRR6250384	SRR5221624
		SRR6254966	SRR5231232
		SRR6260764	SRR5231293
		SRR6289831	SRR5236373
		SRR6289885	SRR5236374
		SRR6289905	SRR5236376
		SRR6300831	SRR5236377
		SRR6300841	SRR5236378
		SRR6310075	SRR5236379
		SRR6310654	SRR5236381
		SRR6310666	SRR5236382
		SRR6316183	SRR5236383
		SRR6324280	SRR5236384
		SRR6327185	SRR5236385
		SRR6337682	SRR5236388
		SRR6344915	SRR5236389
		SRR6345354	SRR5236390
		SRR6345631	SRR5236391
		SRR6350768	SRR5236392
		SRR6350795	SRR5236395
		SRR6350817	SRR5236398
		SRR6350823	SRR5236400
		SRR6350850	SRR5236406
		SRR6350855	SRR5236407
		SRR6350875	SRR5236408
		SRR6350913	SRR5237960
		SRR6350918	SRR5237961
		SRR6350963	SRR5237962
		SRR6354065	SRR5237963
		SRR6356464	SRR5237964
		SRR6359118	SRR5237966
		SRR6368624	SRR5237982
		SRR6371564	SRR5238036
		SRR6373534	SRR5238038
		SRR6380785	SRR5238153
		SRR6385519	SRR5238181
		SRR6396517	SRR5238183
		SRR6410897	SRR5238457
		SRR6411039	SRR5239194
		SRR6419002	SRR5239196
		SRR6440105	SRR5239200
		SRR6447539	SRR5239201
		SRR6451856	SRR5239202
		SRR6451860	SRR5239205
		SRR6451864	SRR5239206
		SRR6452135	SRR5239210
		SRR6484537	SRR5239212
		SRR6484698	SRR5239213
		SRR6514392	SRR5239214
		SRR6650724	SRR5239215
		SRR6650755	SRR5239217
		SRR6663460	SRR5239221
		SRR6663495	SRR5239222
		SRR6667881	SRR5239225
		SRR6682137	SRR5239226
		SRR6682143	SRR5239227
		SRR6703679	SRR5239228
		SRR6729926	SRR5239230
		SRR6750506	SRR5239232
		SRR6760455	SRR5239233
		SRR6760765	SRR5241819
		SRR6766136	SRR5241821
		SRR6791509	SRR5241822
		SRR949394	SRR5241825
		SRR949407	SRR5241827
		SRR949419	SRR5241828
		SRR950673	SRR5241829
			SRR5241834
			SRR5241838
			SRR5241839
			SRR5241840
			SRR5241847
			SRR5241848
			SRR5241851
			SRR5277178
			SRR5278779
			SRR5291635
			SRR5297984
			SRR5344853
			SRR5361195
			SRR5438432
			SRR5447652
			SRR5460883
			SRR5501034
			SRR5508215
			SRR5508275
			SRR5508313
			SRR5573051
			SRR5576564
			SRR5584057
			SRR5584485
			SRR5584684
			SRR5584758
			SRR5584830
			SRR5584952
			SRR5584998
			SRR5585076
			SRR5585127
			SRR5585135
			SRR5585192
			SRR5585228
			SRR5585239
			SRR5585257
			SRR5586289
			SRR5598904
			SRR5599703
			SRR5599704
			SRR5631592
			SRR5631653
			SRR5631669
			SRR5632108
			SRR5632816
			SRR5632970
			SRR5633077
			SRR5645347
			SRR5646583
			SRR5647000
			SRR5647012
			SRR5693819
			SRR5711989
			SRR5712352
			SRR5714246
			SRR5714989
			SRR5725211
			SRR5725235
			SRR5742165
			SRR5759605
			SRR5759609
			SRR5760382
			SRR5760695
			SRR5804720
			SRR5804721
			SRR5804728
			SRR5804729
			SRR5804738
			SRR5804739
			SRR5804917
			SRR5804928
			SRR5808654
			SRR5812214
			SRR5821979
			SRR5823576
			SRR5854298
			SRR5861553
			SRR5861709
			SRR5861889
			SRR5862986
			SRR5865205
			SRR5868278
			SRR5874812
			SRR5876341
			SRR5876831
			SRR5889605
			SRR5892861
			SRR5912904
			SRR5920247
			SRR5927371
			SRR5932651
			SRR5934101
			SRR5938166
			SRR5944103
			SRR5944128
			SRR5944129
			SRR5944135
			SRR5945566
			SRR5947424
			SRR5947782
			SRR5955183
			SRR5955291
			SRR5955339
			SRR5955393
			SRR5962570
			SRR5967220
			SRR5980281
			SRR5980388
			SRR5980393
			SRR5982393
			SRR5995910
			SRR6011798
			SRR6014485
			SRR6029283
			SRR6029290
			SRR6029292
			SRR6038570
			SRR6038574
			SRR6039955
			SRR6042798
			SRR6060366
			SRR6107202
			SRR6107984
			SRR6116050
			SRR6116280
			SRR6117274
			SRR6128822
			SRR6129425
			SRR6132409
			SRR6133766
			SRR6133768
			SRR6133775
			SRR6158453
			SRR6159342
			SRR6160597
			SRR6160859
			SRR6160990
			SRR6160992
			SRR6165601
			SRR6178083
			SRR6182869
			SRR6197784
			SRR6207756
			SRR6217774
			SRR6217931
			SRR6218014
			SRR6231039
			SRR6231222
			SRR6234181
			SRR6236806
			SRR6236981
			SRR6243393
			SRR6250384
			SRR6254946
			SRR6254966
			SRR6260764
			SRR6278411
			SRR6283583
			SRR6283608
			SRR6286463
			SRR6289831
			SRR6289885
			SRR6289905
			SRR6300831
			SRR6300841
			SRR6310072
			SRR6310075
			SRR6310654
			SRR6310665
			SRR6310666
			SRR6313651
			SRR6316183
			SRR6324198
			SRR6324207
			SRR6324280
			SRR6327185
			SRR6336380
			SRR6337682
			SRR6342678
			SRR6344915
			SRR6345354
			SRR6345631
			SRR6350768
			SRR6350795
			SRR6350800
			SRR6350807
			SRR6350817
			SRR6350823
			SRR6350850
			SRR6350855
			SRR6350875
			SRR6350913
			SRR6350918
			SRR6350931
			SRR6350963
			SRR6350971
			SRR6351136
			SRR6354065
			SRR6356464
			SRR6359118
			SRR6368624
			SRR6371564
			SRR6373534
			SRR6380785
			SRR6385519
			SRR6396517
			SRR6410897
			SRR6411039
			SRR6419002
			SRR6437534
			SRR6439901
			SRR6440105
			SRR6447539
			SRR6451856
			SRR6451860
			SRR6451864
			SRR6452135
			SRR6484537
			SRR6484698
			SRR6514392
			SRR6514485
			SRR6650724
			SRR6650755
			SRR6663460
			SRR6663476
			SRR6663495
			SRR6663613
			SRR6667881
			SRR6682136
			SRR6682137
			SRR6682143
			SRR6703679
			SRR6726342
			SRR6729926
			SRR6736386
			SRR6740100
			SRR6750506
			SRR6760433
			SRR6760455
			SRR6760765
			SRR6765884
			SRR6766070
			SRR6766136
			SRR6786499
			SRR6791509
			SRR949394
			SRR949407
			SRR949419
			SRR950673
			SRR950677
