250 SE genome assemblies	500 SE genome assemblies	750 SE genome assemblies	1000 SE genome assemblies																																																																				
ERR1737327	ERR1069244	ERR1010128	ERR1010128																																																																				
ERR1743722	ERR1069250	ERR1069244	ERR1069244																																																																				
ERR1755731	ERR1556187	ERR1069250	ERR1069250																																																																				
ERR1755868	ERR1715072	ERR1069256	ERR1069256																																																																				
ERR1756369	ERR1737327	ERR1069291	ERR1069291																																																																				
ERR1759046	ERR1755731	ERR1556187	ERR1556187																																																																				
ERR1759049	ERR1755868	ERR1737327	ERR1715072																																																																				
ERR1759051	ERR1756369	ERR1743722	ERR1715131																																																																				
ERR1759419	ERR1757893	ERR1755731	ERR1737327																																																																				
ERR1817324	ERR1759419	ERR1755868	ERR1743722																																																																				
ERR197430	ERR1815683	ERR1756369	ERR1755731																																																																				
ERR197438	ERR1817207	ERR1756501	ERR1755868																																																																				
ERR2118091	ERR1817218	ERR1757893	ERR1756369																																																																				
ERR2118199	ERR1817324	ERR1759046	ERR1756501																																																																				
ERR2173659	ERR197438	ERR1759049	ERR1757893																																																																				
ERR2210636	ERR2118109	ERR1759051	ERR1759046																																																																				
ERR2278721	ERR2118123	ERR1759156	ERR1759049																																																																				
ERR235105	ERR2118154	ERR1815683	ERR1759051																																																																				
ERR235175	ERR2118199	ERR1817207	ERR1759156																																																																				
ERR235360	ERR2173659	ERR1817324	ERR1759419																																																																				
ERR2525507	ERR2200235	ERR1817393	ERR1815683																																																																				
ERR2602034	ERR2224032	ERR1891147	ERR1817207																																																																				
ERR2651548	ERR2224038	ERR1891174	ERR1817218																																																																				
ERR311256	ERR2278713	ERR197430	ERR1817324																																																																				
ERR311271	ERR2278721	ERR197438	ERR1817393																																																																				
ERR338270	ERR2278750	ERR2118087	ERR1823930																																																																				
ERR338950	ERR235105	ERR2118091	ERR1891147																																																																				
ERR338971	ERR235181	ERR2118093	ERR1891174																																																																				
ERR352122	ERR235380	ERR2118109	ERR197430																																																																				
ERR374223	ERR2525507	ERR2118123	ERR197438																																																																				
ERR405392	ERR2541850	ERR2118154	ERR2118087																																																																				
ERR653325	ERR2602034	ERR2118165	ERR2118091																																																																				
SRR1181520	ERR2617709	ERR2118199	ERR2118093																																																																				
SRR1183755	ERR2617769	ERR2173659	ERR2118109																																																																				
SRR1346285	ERR2617787	ERR2197879	ERR2118123																																																																				
SRR1481932	ERR2651548	ERR2200235	ERR2118154																																																																				
SRR1532732	ERR304829	ERR2210636	ERR2118165																																																																				
SRR1536155	ERR304845	ERR2223858	ERR2118199																																																																				
SRR1536808	ERR311256	ERR2223935	ERR2173659																																																																				
SRR1536826	ERR311257	ERR2224032	ERR2197879																																																																				
SRR1566213	ERR317076	ERR2278713	ERR2200235																																																																				
SRR1616778	ERR338270	ERR2278721	ERR2210636																																																																				
SRR1616789	ERR338318	ERR2278750	ERR2223858																																																																				
SRR1633549	ERR338950	ERR235105	ERR2223935																																																																				
SRR1645450	ERR352122	ERR235175	ERR2224032																																																																				
SRR1645793	ERR369348	ERR235181	ERR2224038																																																																				
SRR1664305	ERR369371	ERR235360	ERR2278713																																																																				
SRR1695616	ERR369416	ERR235380	ERR2278721																																																																				
SRR1799700	ERR405392	ERR2541850	ERR2278750																																																																				
SRR1910755	ERR405426	ERR2592242	ERR235105																																																																				
SRR1952913	ERR405502	ERR2617709	ERR235175																																																																				
SRR1959275	ERR405530	ERR2617769	ERR235181																																																																				
SRR1963094	ERR653325	ERR2617787	ERR235192																																																																				
SRR1966194	ERR653984	ERR2617799	ERR235360																																																																				
SRR1966277	ERR984704	ERR2651548	ERR235380																																																																				
SRR1966337	ERR984803	ERR304829	ERR2525507																																																																				
SRR1966497	SRR1036453	ERR304845	ERR2541850																																																																				
SRR1966582	SRR1106360	ERR311256	ERR2592242																																																																				
SRR1966960	SRR1106500	ERR317076	ERR2602034																																																																				
SRR1967284	SRR1183752	ERR338308	ERR2617709																																																																				
SRR1967750	SRR1187396	ERR338318	ERR2617769																																																																				
SRR1967806	SRR1187575	ERR338942	ERR2617787																																																																				
SRR1968297	SRR1187596	ERR338950	ERR2617799																																																																				
SRR1968440	SRR1188463	ERR338971	ERR2651548																																																																				
SRR1969064	SRR1379763	ERR352122	ERR304829																																																																				
SRR1969684	SRR1422660	ERR357434	ERR304845																																																																				
SRR1970294	SRR1427083	ERR357437	ERR311256																																																																				
SRR1970321	SRR1511512	ERR369371	ERR311257																																																																				
SRR1976241	SRR1521521	ERR369416	ERR311271																																																																				
SRR1982119	SRR1536155	ERR369420	ERR311287																																																																				
SRR1997805	SRR1536808	ERR374223	ERR317076																																																																				
SRR2035407	SRR1536816	ERR405392	ERR338270																																																																				
SRR2035443	SRR1544563	ERR405402	ERR338308																																																																				
SRR2062506	SRR1553742	ERR405426	ERR338318																																																																				
SRR2082947	SRR1566217	ERR405494	ERR338942																																																																				
SRR2085496	SRR1586550	ERR405502	ERR338950																																																																				
SRR2176193	SRR1588669	ERR405503	ERR338971																																																																				
SRR2176204	SRR1616778	ERR424909	ERR352122																																																																				
SRR2182888	SRR1616789	ERR653325	ERR357434																																																																				
SRR2296840	SRR1631182	ERR653984	ERR357437																																																																				
SRR2352198	SRR1645240	ERR984704	ERR369348																																																																				
SRR2559318	SRR1645373	SRR1036453	ERR369371																																																																				
SRR2566887	SRR1645450	SRR1060527	ERR369406																																																																				
SRR2567019	SRR1645464	SRR1106360	ERR369416																																																																				
SRR2584392	SRR1645649	SRR1158049	ERR369420																																																																				
SRR2913276	SRR1645975	SRR1183752	ERR374223																																																																				
SRR3049397	SRR1646075	SRR1183755	ERR405392																																																																				
SRR3049713	SRR1713645	SRR1183773	ERR405402																																																																				
SRR3049722	SRR1813424	SRR1183827	ERR405414																																																																				
SRR3182235	SRR1816331	SRR1183873	ERR405426																																																																				
SRR3184316	SRR1816353	SRR1187396	ERR405494																																																																				
SRR3284848	SRR1910755	SRR1187443	ERR405502																																																																				
SRR3285474	SRR1952907	SRR1187569	ERR405503																																																																				
SRR3286861	SRR1952920	SRR1187575	ERR405530																																																																				
SRR3312161	SRR1957746	SRR1302861	ERR424909																																																																				
SRR3372231	SRR1957986	SRR1346285	ERR653325																																																																				
SRR3457764	SRR1958129	SRR1346293	ERR653984																																																																				
SRR3618595	SRR1958190	SRR1346324	ERR653987																																																																				
SRR3743987	SRR1958633	SRR1379748	ERR984704																																																																				
SRR3978450	SRR1959455	SRR1379750	ERR984803																																																																				
SRR4063727	SRR1963094	SRR1427083	SRR1036453																																																																				
SRR4280634	SRR1965577	SRR1481932	SRR1060527																																																																				
SRR4429045	SRR1965758	SRR1521521	SRR1106360																																																																				
SRR4434231	SRR1966087	SRR1532576	SRR1106498																																																																				
SRR4444920	SRR1966325	SRR1532732	SRR1106500																																																																				
SRR4451325	SRR1966337	SRR1536155	SRR1158049																																																																				
SRR4546497	SRR1966448	SRR1536808	SRR1181520																																																																				
SRR5002702	SRR1966532	SRR1536816	SRR1183744																																																																				
SRR5004580	SRR1966772	SRR1536826	SRR1183752																																																																				
SRR5057228	SRR1966804	SRR1544563	SRR1183755																																																																				
SRR5081551	SRR1966960	SRR1544566	SRR1183773																																																																				
SRR5126201	SRR1967183	SRR1553742	SRR1183827																																																																				
SRR5126209	SRR1967199	SRR1562611	SRR1183870																																																																				
SRR5126971	SRR1967204	SRR1566213	SRR1183873																																																																				
SRR5193229	SRR1967274	SRR1566217	SRR1187396																																																																				
SRR5193246	SRR1967283	SRR1573124	SRR1187416																																																																				
SRR5193611	SRR1967284	SRR1574258	SRR1187443																																																																				
SRR5193997	SRR1967478	SRR1574317	SRR1187569																																																																				
SRR5194081	SRR1967750	SRR1586550	SRR1187575																																																																				
SRR5194095	SRR1967877	SRR1588669	SRR1187596																																																																				
SRR5215513	SRR1967905	SRR1608976	SRR1188452																																																																				
SRR5215727	SRR1967970	SRR1616789	SRR1188463																																																																				
SRR5215814	SRR1968297	SRR1631182	SRR1206205																																																																				
SRR5215860	SRR1968709	SRR1633549	SRR1299360																																																																				
SRR5216134	SRR1968723	SRR1645240	SRR1302861																																																																				
SRR5216185	SRR1968998	SRR1645373	SRR1346285																																																																				
SRR5216469	SRR1969332	SRR1645464	SRR1346293																																																																				
SRR5216528	SRR1969386	SRR1645649	SRR1346324																																																																				
SRR5219441	SRR1969651	SRR1645975	SRR1379748																																																																				
SRR5219466	SRR1969815	SRR1646075	SRR1379750																																																																				
SRR5220053	SRR1969850	SRR1695616	SRR1379763																																																																				
SRR5220314	SRR1969985	SRR1813424	SRR1422660																																																																				
SRR5220463	SRR1970052	SRR1816331	SRR1427083																																																																				
SRR5220516	SRR1970156	SRR1816353	SRR1481932																																																																				
SRR5220538	SRR1970294	SRR1952820	SRR1511512																																																																				
SRR5220668	SRR1970321	SRR1952913	SRR1521521																																																																				
SRR5220694	SRR1982119	SRR1952920	SRR1532576																																																																				
SRR5220703	SRR2035407	SRR1952931	SRR1532732																																																																				
SRR5220848	SRR2035443	SRR1957746	SRR1534875																																																																				
SRR5221628	SRR2062506	SRR1957755	SRR1536155																																																																				
SRR5249672	SRR2082947	SRR1957777	SRR1536808																																																																				
SRR5366186	SRR2085495	SRR1957986	SRR1536816																																																																				
SRR5382645	SRR2088728	SRR1958129	SRR1536826																																																																				
SRR5440621	SRR2094560	SRR1958190	SRR1544519																																																																				
SRR5486149	SRR2102455	SRR1958329	SRR1544563																																																																				
SRR5508443	SRR2187690	SRR1958633	SRR1544566																																																																				
SRR5576593	SRR2229662	SRR1959275	SRR1553742																																																																				
SRR5578820	SRR2352198	SRR1959455	SRR1562568																																																																				
SRR5584110	SRR2352210	SRR1960139	SRR1562611																																																																				
SRR5585220	SRR2577498	SRR1960181	SRR1566213																																																																				
SRR5605968	SRR2584392	SRR1962045	SRR1566217																																																																				
SRR5631546	SRR2585441	SRR1963094	SRR1569662																																																																				
SRR5633247	SRR2669158	SRR1965043	SRR1573124																																																																				
SRR5656424	SRR2913304	SRR1965577	SRR1574258																																																																				
SRR5677858	SRR3048831	SRR1965616	SRR1574285																																																																				
SRR5715010	SRR3048844	SRR1965932	SRR1574317																																																																				
SRR5757207	SRR3049240	SRR1966105	SRR1586550																																																																				
SRR5762336	SRR3049462	SRR1966194	SRR1588669																																																																				
SRR5799622	SRR3049640	SRR1966262	SRR1608976																																																																				
SRR5799695	SRR3049687	SRR1966277	SRR1616778																																																																				
SRR5808937	SRR3049713	SRR1966318	SRR1616789																																																																				
SRR5812176	SRR3049722	SRR1966325	SRR1631182																																																																				
SRR5820864	SRR3049821	SRR1966337	SRR1633549																																																																				
SRR5850047	SRR3052031	SRR1966360	SRR1645240																																																																				
SRR5876335	SRR3089996	SRR1966448	SRR1645373																																																																				
SRR5887861	SRR3103829	SRR1966497	SRR1645450																																																																				
SRR5888647	SRR3110500	SRR1966582	SRR1645464																																																																				
SRR5888704	SRR3114034	SRR1966772	SRR1645649																																																																				
SRR5908394	SRR3184316	SRR1966804	SRR1645793																																																																				
SRR5924440	SRR3205702	SRR1967006	SRR1645975																																																																				
SRR5927271	SRR3284732	SRR1967172	SRR1646075																																																																				
SRR5938178	SRR3285081	SRR1967183	SRR1646280																																																																				
