250 ST genome assemblies	500 ST genome assemblies	750 ST genome assemblies	1000 ST genome assemblies
		SRR6386485	SRR5684040
		SRR6412871	SRR5704987
		SRR6425487	SRR5712127
		SRR6434023	SRR5712132
		SRR6434030	SRR5714143
		SRR6434230	SRR5750018
		SRR6434301	SRR5753178
		SRR6468477	SRR5756382
		SRR6481029	SRR5760408
		SRR6484500	SRR5761321
		SRR6491252	SRR5761355
		SRR6491338	SRR5787131
		SRR6650742	SRR5787593
		SRR6650803	SRR5799564
		SRR6651177	SRR5799590
		SRR6663718	SRR5799604
		SRR6703583	SRR5808875
		SRR6703827	SRR5812080
		SRR6726327	SRR5812095
		SRR6729965	SRR5816794
		SRR6730007	SRR5819523
		SRR6750613	SRR5823768
		SRR6750634	SRR5854294
		SRR6760619	SRR5864245
		SRR6765809	SRR5864287
		SRR6791622	SRR5864300
		SRR6791874	SRR5864391
		SRR6794950	SRR5864575
		SRR6872244	SRR5864626
		SRR6879331	SRR5865227
		SRR6879810	SRR5865229
		SRR6879828	SRR5865230
		SRR6879935	SRR5865368
		SRR6885336	SRR5868563
		SRR6903135	SRR5874804
		SRR6904581	SRR5876246
		SRR6926968	SRR5876382
		SRR6940270	SRR5879441
		SRR6940325	SRR5888114
		SRR6940358	SRR5888116
		SRR6943396	SRR5890317
		SRR6943475	SRR5896188
		SRR6977158	SRR5908289
		SRR7001551	SRR5921245
		SRR7010283	SRR5921336
		SRR7027927	SRR5924447
		SRR7049814	SRR5929561
		SRR7063497	SRR5929575
		SRR7072104	SRR5934141
		SRR7081919	SRR5935603
		SRR7081939	SRR5944104
		SRR7082111	SRR5945432
		SRR7085280	SRR5947453
		SRR7089222	SRR5947659
		SRR7090655	SRR5947693
		SRR7118990	SRR5947745
		SRR7153389	SRR5948427
		SRR7153429	SRR5955274
		SRR7159934	SRR5991660
		SRR7167160	SRR5991712
		SRR7170388	SRR5993079
		SRR7170584	SRR6000376
		SRR7175525	SRR6014156
		SRR7187226	SRR6014229
		SRR7204335	SRR6014337
		SRR7209520	SRR6025899
		SRR7221027	SRR6025906
		SRR7230377	SRR6026079
		SRR7230695	SRR6028846
		SRR7234487	SRR6038055
		SRR7245643	SRR6039099
		SRR7245761	SRR6050739
		SRR7251499	SRR6050746
		SRR7251504	SRR6050774
		SRR7251571	SRR6050811
		SRR7255368	SRR6051308
		SRR7257151	SRR6051328
		SRR7262556	SRR6062260
		SRR7275026	SRR6062272
		SRR7276719	SRR6062317
		SRR7278079	SRR6062318
		SRR7278509	SRR6062347
		SRR7278687	SRR6062372
		SRR7285694	SRR6062403
		SRR7286846	SRR6062437
		SRR7292696	SRR6074499
		SRR7292846	SRR6074583
		SRR7294462	SRR6074608
		SRR7294466	SRR6074662
		SRR7348104	SRR6074675
		SRR7349288	SRR6074695
		SRR7349351	SRR6074703
		SRR7349357	SRR6074713
		SRR7351437	SRR6074714
		SRR7358928	SRR6074724
		SRR7359614	SRR6077136
		SRR7402040	SRR6082069
		SRR7403444	SRR6082070
		SRR7406154	SRR6107171
		SRR7410904	SRR6107531
		SRR7414495	SRR6107636
		SRR7416130	SRR6110982
		SRR7416266	SRR6110987
		SRR7417222	SRR6110991
		SRR7426514	SRR6111002
		SRR7426913	SRR6111081
		SRR7439439	SRR6111116
		SRR7439453	SRR6111193
		SRR7441788	SRR6111204
		SRR7441946	SRR6111224
		SRR7442091	SRR6111231
		SRR7444139	SRR6111233
		SRR7447212	SRR6111245
		SRR7451056	SRR6111314
		SRR7456728	SRR6111321
		SRR7456736	SRR6111336
		SRR7456905	SRR6114069
		SRR7457911	SRR6114088
		SRR7457957	SRR6114211
		SRR7458723	SRR6114374
		SRR7465562	SRR6116912
		SRR7466529	SRR6116976
		SRR7468570	SRR6116977
		SRR7471107	SRR6116988
		SRR7471111	SRR6117096
		SRR7472849	SRR6117098
		SRR7472861	SRR6117110
		SRR7475286	SRR6117122
		SRR7480129	SRR6117176
		SRR7495469	SRR6117225
		SRR7495490	SRR6117252
		SRR7495586	SRR6117468
		SRR7501412	SRR6117491
		SRR7504456	SRR6117502
		SRR7504675	SRR6117519
		SRR7504824	SRR6117638
		SRR7506731	SRR6117643
		SRR7511748	SRR6117649
		SRR7514737	SRR6117796
		SRR7518601	SRR6117813
		SRR7518626	SRR6117824
		SRR7523711	SRR6125305
		SRR7527891	SRR6128838
		SRR7528269	SRR6134269
		SRR7533343	SRR6155256
		SRR7634151	SRR6155494
		SRR7691943	SRR6165646
		SRR7695397	SRR6192613
		SRR7758381	SRR6203382
		SRR7770298	SRR6203387
		SRR7790298	SRR6203508
		SRR7823338	SRR6215593
		SRR946247	SRR6217700
			SRR6230997
			SRR6236597
			SRR6238561
			SRR6243663
			SRR6243696
			SRR6244028
			SRR6253560
			SRR6254932
			SRR6255041
			SRR6278414
			SRR6283576
			SRR6289893
			SRR6291072
			SRR6291102
			SRR6294680
			SRR6299393
			SRR6300191
			SRR6310258
			SRR6310569
			SRR6310656
			SRR6311153
			SRR6311916
			SRR6317419
			SRR6321441
			SRR6324181
			SRR6324229
			SRR6327163
			SRR6327193
			SRR6334772
			SRR6336383
			SRR6344889
			SRR6345557
			SRR6345583
			SRR6350836
			SRR6350879
			SRR6351149
			SRR6353816
			SRR6353831
			SRR6353840
			SRR6353844
			SRR6353976
			SRR6354011
			SRR6354032
			SRR6354064
			SRR6356227
			SRR6359113
			SRR6359116
			SRR6359155
			SRR6373427
			SRR6373453
			SRR6373501
			SRR6380783
			SRR6386484
			SRR6386485
			SRR6412871
			SRR6412888
			SRR6425479
			SRR6425487
			SRR6434023
			SRR6434030
			SRR6434230
			SRR6434301
			SRR6439972
			SRR6468477
			SRR6475515
			SRR6475583
			SRR6481029
			SRR6481145
			SRR6484500
			SRR6491252
			SRR6491338
			SRR6650742
			SRR6650803
			SRR6651177
			SRR6663718
			SRR6682883
			SRR6703583
			SRR6703827
			SRR6726327
			SRR6729965
			SRR6730007
			SRR6750613
			SRR6750634
			SRR6760619
			SRR6764197
			SRR6765809
			SRR6786537
			SRR6791622
			SRR6791670
			SRR6791745
			SRR6791874
			SRR6794950
			SRR6843232
			SRR6872244
			SRR6878804
			SRR6879318
			SRR6879331
			SRR6879810
			SRR6879828
			SRR6879901
			SRR6879935
			SRR6885336
			SRR6903135
			SRR6904581
			SRR6926968
			SRR6929533
			SRR6940270
			SRR6940325
			SRR6940358
			SRR6943396
			SRR6943475
			SRR6977058
			SRR6977158
			SRR6977377
			SRR7001551
			SRR7010283
			SRR7027927
			SRR7049814
			SRR7063497
			SRR7072104
			SRR7081919
			SRR7081939
			SRR7082111
			SRR7085280
			SRR7089222
			SRR7090655
			SRR7090722
			SRR7118990
			SRR7127897
			SRR7153389
			SRR7153429
			SRR7157765
			SRR7159934
			SRR7167160
			SRR7170357
			SRR7170388
			SRR7170584
			SRR7175525
			SRR7187108
			SRR7187226
			SRR7204335
			SRR7209520
			SRR7221027
			SRR7223229
			SRR7230377
			SRR7230695
			SRR7234487
			SRR7237466
			SRR7244363
			SRR7245643
			SRR7245761
			SRR7251053
			SRR7251499
			SRR7251504
			SRR7251571
			SRR7255368
			SRR7257151
			SRR7262556
			SRR7263170
			SRR7275026
			SRR7276588
			SRR7276719
			SRR7278079
			SRR7278509
			SRR7278687
			SRR7285605
			SRR7285694
			SRR7285774
			SRR7286846
			SRR7292696
			SRR7292846
			SRR7294462
			SRR7294466
			SRR7299211
			SRR7345613
			SRR7348104
			SRR7349288
			SRR7349351
			SRR7349357
			SRR7351369
			SRR7351437
			SRR7358928
			SRR7359614
			SRR7402040
			SRR7403444
			SRR7406154
			SRR7410904
			SRR7414495
			SRR7416130
			SRR7416190
			SRR7416266
			SRR7417222
			SRR7417249
			SRR7426514
			SRR7426913
			SRR7427058
			SRR7439439
			SRR7439453
			SRR7441788
			SRR7441946
			SRR7442091
			SRR7444134
			SRR7444139
			SRR7444265
			SRR7444272
			SRR7447212
			SRR7451056
			SRR7456728
			SRR7456736
			SRR7456905
			SRR7457911
			SRR7457957
			SRR7458723
			SRR7465562
			SRR7466529
			SRR7468570
			SRR7471107
			SRR7471111
			SRR7472849
			SRR7472861
			SRR7475286
			SRR7475303
			SRR7480129
			SRR7495469
			SRR7495490
			SRR7495586
			SRR7501412
			SRR7501649
			SRR7504456
			SRR7504675
			SRR7504824
			SRR7506731
			SRR7511748
			SRR7514737
			SRR7518601
			SRR7518626
			SRR7523711
			SRR7527891
			SRR7528269
			SRR7533326
			SRR7533343
			SRR7634151
			SRR7643311
			SRR7691943
			SRR7695397
			SRR7758381
			SRR7770298
			SRR7790298
			SRR7823338
			SRR946247
