250 ST genome assemblies	500 ST genome assemblies	750 ST genome assemblies	1000 ST genome assemblies
SRR5066084	SRR1660405	ERR702743	ERR235233
SRR5081488	SRR1774093	ERR702762	ERR2532897
SRR5092331	SRR1801545	ERR702782	ERR2532930
SRR5126031	SRR1814272	ERR702819	ERR2651546
SRR5152310	SRR1814426	ERR702848	ERR2719752
SRR5159788	SRR1814871	ERR702950	ERR2719754
SRR5215734	SRR1816137	ERR703014	ERR2728945
SRR5217465	SRR1816458	ERR703023	ERR2728956
SRR5217720	SRR1822313	ERR715545	ERR2728977
SRR5217723	SRR1946947	ERR715563	ERR2728997
SRR5224172	SRR1958061	ERR744187	ERR2729021
SRR5251584	SRR1958174	ERR744192	ERR2729031
SRR5336304	SRR1958532	ERR744223	ERR2729067
SRR5360725	SRR1959284	ERR744309	ERR2729127
SRR5396353	SRR1959478	ERR774787	ERR2729154
SRR5451261	SRR1960187	ERR775828	ERR2729173
SRR5451284	SRR1963356	ERR775858	ERR2729187
SRR546266	SRR1963620	ERR775873	ERR2759806
SRR5483899	SRR1965074	ERR984780	ERR2759876
SRR5501083	SRR1965201	ERR984921	ERR2759887
SRR5508184	SRR1965418	ERR984922	ERR2759931
SRR5584053	SRR1965768	ERR998514	ERR277224
SRR5586366	SRR1965942	ERR998535	ERR279240
SRR5590062	SRR1966066	ERR998554	ERR304818
SRR5628647	SRR1966079	ERR998646	ERR341077
SRR5631283	SRR1966841	SRR1060686	ERR341106
SRR5631622	SRR1967149	SRR1068344	ERR350249
SRR5633380	SRR1967168	SRR1106401	ERR350252
SRR5714143	SRR1967382	SRR1106407	ERR350280
SRR5761355	SRR1967679	SRR1122596	ERR350300
SRR5799564	SRR1967882	SRR1122729	ERR350323
SRR5823768	SRR1968343	SRR1177352	ERR350361
SRR5865227	SRR1968669	SRR1238781	ERR350377
SRR5865368	SRR1968825	SRR1248947	ERR350423
SRR5921245	SRR1969136	SRR1258597	ERR405540
SRR5947745	SRR1969387	SRR1266087	ERR405560
SRR5948427	SRR1969799	SRR1292325	ERR405580
SRR6014156	SRR1969866	SRR1299419	ERR405584
SRR6025899	SRR1969977	SRR1299427	ERR405680
SRR6025906	SRR1970277	SRR1299430	ERR657369
SRR6026079	SRR1982139	SRR1302863	ERR660571
SRR6039099	SRR2054215	SRR1346305	ERR660586
SRR6062317	SRR2152994	SRR1346322	ERR702356
SRR6062318	SRR2163440	SRR1411146	ERR702376
SRR6062372	SRR2163445	SRR1425300	ERR702382
SRR6074675	SRR2407631	SRR1503240	ERR702697
SRR6077136	SRR2407708	SRR1514750	ERR702708
SRR6111002	SRR2426344	SRR1528509	ERR702743
SRR6111204	SRR2533460	SRR1534842	ERR702762
SRR6111245	SRR2567025	SRR1558997	ERR702782
SRR6111314	SRR2567068	SRR1559012	ERR702819
SRR6116912	SRR2567163	SRR1562603	ERR702848
SRR6116988	SRR2571701	SRR1569596	ERR702950
SRR6117491	SRR2831451	SRR1569610	ERR702968
SRR6117638	SRR2962407	SRR1573187	ERR703014
SRR6117649	SRR3027705	SRR1573564	ERR703023
SRR6117813	SRR3049039	SRR1575964	ERR715545
SRR6117824	SRR3049259	SRR1575968	ERR715563
SRR6125305	SRR3049281	SRR1577666	ERR744170
SRR6203508	SRR3049297	SRR1582149	ERR744176
SRR6215593	SRR3049335	SRR1617361	ERR744187
SRR6230997	SRR3049477	SRR1645536	ERR744192
SRR6238561	SRR3062414	SRR1645599	ERR744223
SRR6253560	SRR3081663	SRR1645644	ERR744278
SRR6254932	SRR3082382	SRR1645837	ERR744309
SRR6294680	SRR3098374	SRR1645878	ERR774787
SRR6299393	SRR3110329	SRR1645981	ERR775820
SRR6324229	SRR3115208	SRR1646005	ERR775828
SRR6327163	SRR3151790	SRR1646152	ERR775831
SRR6334772	SRR3169007	SRR1646237	ERR775858
SRR6336383	SRR3184568	SRR1646268	ERR775873
SRR6344889	SRR3184628	SRR1646377	ERR984780
SRR6353844	SRR3184637	SRR1646694	ERR984799
SRR6353976	SRR3217375	SRR1660405	ERR984823
SRR6425487	SRR3271891	SRR1664226	ERR984921
SRR6434230	SRR3285398	SRR1774093	ERR984922
SRR6434301	SRR3286599	SRR1801545	ERR998514
SRR6475515	SRR3321891	SRR1814272	ERR998535
SRR6475583	SRR3322108	SRR1814426	ERR998554
SRR6481029	SRR3322352	SRR1814871	ERR998615
SRR6484500	SRR3344459	SRR1814898	ERR998646
SRR6650803	SRR3405747	SRR1814899	SRR1060584
SRR6703583	SRR3474685	SRR1814926	SRR1060686
SRR6729965	SRR3664768	SRR1814932	SRR1067666
SRR6760619	SRR3664771	SRR1816137	SRR1068344
SRR6791622	SRR3664790	SRR1816458	SRR1106401
SRR6794950	SRR3664817	SRR1822313	SRR1106407
SRR6872244	SRR3664825	SRR1909006	SRR1122596
SRR6879810	SRR3664882	SRR1946947	SRR1122626
SRR6879901	SRR3721582	SRR1958061	SRR1122729
SRR6940325	SRR3944423	SRR1958317	SRR1164585
SRR7010283	SRR4044658	SRR1958688	SRR1177352
SRR7063497	SRR4100146	SRR1959478	SRR1238781
SRR7072104	SRR4176675	SRR1960187	SRR1248947
SRR7081939	SRR4190207	SRR1963356	SRR1258597
SRR7089222	SRR4280607	SRR1963501	SRR1266087
SRR7090655	SRR4292005	SRR1963620	SRR1292325
SRR7127897	SRR4292986	SRR1965074	SRR1299419
