250 Typhi genome assemblies	500  Typhi genome assemblies	750  Typhi genome assemblies	1000  Typhi genome assemblies
ERR1017045	ERR1017045	ERR1017045	ERR1017041
ERR1017068	ERR1017055	ERR1017055	ERR1017045
ERR1017070	ERR1017063	ERR1017063	ERR1017055
ERR1079283	ERR1017070	ERR1017064	ERR1017063
ERR108689	ERR1017083	ERR1017068	ERR1017064
ERR1788905	ERR1017087	ERR1017070	ERR1017068
ERR1837283	ERR1017092	ERR1017071	ERR1017070
ERR204244	ERR1079283	ERR1017074	ERR1017071
ERR204256	ERR108654	ERR1017078	ERR1017074
ERR204257	ERR108689	ERR1017083	ERR1017075
ERR204264	ERR1764686	ERR1017087	ERR1017078
ERR204273	ERR1788905	ERR1017092	ERR1017083
ERR204274	ERR204244	ERR1017094	ERR1017087
ERR212654	ERR204248	ERR1017097	ERR1017091
ERR212659	ERR204249	ERR108654	ERR1017092
ERR212660	ERR204257	ERR108664	ERR1017094
ERR212665	ERR204259	ERR108681	ERR1017097
ERR213224	ERR204260	ERR108689	ERR1079283
ERR213243	ERR204269	ERR1788905	ERR108654
ERR213244	ERR204276	ERR1837283	ERR108664
ERR213252	ERR212564	ERR204244	ERR108681
ERR213263	ERR212640	ERR204245	ERR108689
ERR213276	ERR212651	ERR204246	ERR1764686
ERR213289	ERR212652	ERR204249	ERR1788905
ERR2213819	ERR212654	ERR204256	ERR1837283
ERR279116	ERR212655	ERR204257	ERR204244
ERR279123	ERR212659	ERR204258	ERR204245
ERR279125	ERR212662	ERR204260	ERR204246
ERR279132	ERR212664	ERR204261	ERR204248
ERR279141	ERR212667	ERR204263	ERR204249
ERR279145	ERR213219	ERR204264	ERR204253
ERR279148	ERR213225	ERR204269	ERR204256
ERR279151	ERR213226	ERR204270	ERR204257
ERR279153	ERR213231	ERR204275	ERR204258
ERR279164	ERR213232	ERR212636	ERR204259
ERR279166	ERR213233	ERR212638	ERR204260
ERR279170	ERR213241	ERR212640	ERR204261
ERR279173	ERR213242	ERR212643	ERR204263
ERR279187	ERR213245	ERR212647	ERR204264
ERR279191	ERR213253	ERR212648	ERR204266
ERR279345	ERR213257	ERR212651	ERR204269
ERR319402	ERR213258	ERR212652	ERR204270
ERR319404	ERR213263	ERR212655	ERR204273
ERR319409	ERR213264	ERR212659	ERR204274
ERR319410	ERR213280	ERR212660	ERR204275
ERR319418	ERR213290	ERR212662	ERR204276
ERR319428	ERR2213819	ERR212666	ERR212564
ERR319452	ERR2602639	ERR212667	ERR212636
ERR319461	ERR2602763	ERR213219	ERR212638
ERR319462	ERR279098	ERR213220	ERR212640
ERR319465	ERR279101	ERR213221	ERR212643
ERR319479	ERR279102	ERR213223	ERR212646
ERR319492	ERR279109	ERR213224	ERR212647
ERR319495	ERR279123	ERR213225	ERR212648
ERR326611	ERR279125	ERR213226	ERR212651
ERR326615	ERR279140	ERR213227	ERR212652
ERR326622	ERR279141	ERR213228	ERR212654
ERR326626	ERR279145	ERR213232	ERR212655
ERR326634	ERR279146	ERR213233	ERR212659
ERR326642	ERR279147	ERR213234	ERR212660
ERR326659	ERR279151	ERR213240	ERR212662
ERR326673	ERR279154	ERR213241	ERR212664
ERR326678	ERR279156	ERR213242	ERR212665
ERR326682	ERR279159	ERR213244	ERR212666
ERR326685	ERR279160	ERR213252	ERR212667
ERR331205	ERR279165	ERR213253	ERR213219
ERR331238	ERR279170	ERR213258	ERR213220
ERR331247	ERR279174	ERR213259	ERR213221
